username,replied_to_username,location,verified,created_at,text
clevelandb_,Beyonce, ,False,2018-12-10 21:02:29+00:00,I AM NOW PLAYING FOR THE OKLAHOMA CITY THUNDER... SHOUTOUT TO RUSSELL WESTBROOK AND THE SQUAD OUT THERE IN OKC. @Beyonce @okcthunder #THUNDERUP
fantasybballbot, , ,False,2018-12-10 21:01:52+00:00,"team with Russell westbrook, klay thompson, wade carnes, stephen curry, and Deandre jordan"
jajuannnn,Dom_2k, ,False,2018-12-10 20:50:43+00:00,"@Dom_2k 1. stephen curry
2. russell westbrook
3. kemba walker
4. damian lillard
5. kyle lowry"
DonJamesSports,InsideHoops, ,False,2018-12-10 20:10:55+00:00,@InsideHoops Russell Westbrook and Nikola Jokic
NickiDBHughesR1, , ,False,2018-12-10 19:43:43+00:00,Russell-Westbrook/
baseline_hoops, , ,False,2018-12-10 19:29:09+00:00,"Top 5 Point Guards Right Now

1. Steph Curry
2. Kyrie Irving
3. Russell Westbrook
4. Damian Lillard
5. Kemba Walker"
Ali_of_B,InsideHoops, ,False,2018-12-10 19:24:25+00:00,@InsideHoops LeBron James and Russell Westbrook
DulBotty, , ,False,2018-12-10 18:56:06+00:00,Russell Westbrook is a team player for the Thunder
DLocke09, , ,True,2018-12-10 18:51:25+00:00,"I had forgotten that Russell Westbrook took 82 shots combined in Games 5 and 6 of the playoff series.  

Game 5 by Russ was the best single performance I have seen in person in 25 years in the NBA"
Martyfletcher7,InsideHoops, ,False,2018-12-10 18:22:17+00:00,@InsideHoops Russell Westbrook
AdioBRoyster, , ,False,2018-12-10 18:16:35+00:00,"In someone like Russell Westbrook, for example, the Thunder have a PG that averages around twice as many shots in the same amount of MPG, has a TS% of .517, and is only scoring 7 PPG more than Simmons.."
fantasybballbot, , ,False,2018-12-10 18:11:51+00:00,"team with jason Voorhes, Russell westbrook, Trey ebert, puss n boots, and scooby doo"
TrustOrtiz,JakeHighley56, ,False,2018-12-10 18:04:29+00:00,@JakeHighley56 @k_grugierhill I LOVE IT!! Another guy who chokes! Russell Westbrook
celtics_express, , ,False,2018-12-10 18:02:44+00:00,"Top Players in the League RIGHT NOW:

1. LeBron James
2. Stephen Curry
3. Kawhi Leonard
4. Kevin Durant
5. Anthony Davis
6. Giannis Antetokounmpo 
7. Russell Westbrook
8. James Harden"
Matt_Brickman,RandBall, ,True,2018-12-10 17:33:40+00:00,@RandBall Rand I'm really concerned about the state of our point guards. Please make sure no one asks Dame Lillard about chemtrails or asks Russell Westbrook about dinosaurs.
fantasybballbot, , ,False,2018-12-10 17:31:54+00:00,"team with Russell westbrook, John wall, Trey ebert, Mr.crabs, and jerry west"
Hoodie_Milly, , ,False,2018-12-10 17:23:19+00:00,"🔥Hot Take # 101 🔥

Russell Westbrook Gets A Tattoo This Year

😉"
cameronsrich, , ,False,2018-12-10 17:15:28+00:00,Russell Westbrook really is gon’ have the same legacy as Charles Barkley
trevorstweetss, , ,False,2018-12-10 17:13:14+00:00,I need Russell Westbrook to start talking about Loose Change let’s complete the trifecta
