username,replied_to_username,location,verified,created_at,text
athegreat584,NBA, ,False,2016-10-31 23:59:50+00:00,"@NBA 
Russell Westbrook is simply a machine; Man on a mission ………how can you not love his competitive spirit?!?!"
rxjjy96, , ,False,2016-10-31 23:56:44+00:00,If Russell Westbrook don't get MVP this season imma cry
duvaljr, , ,False,2016-10-31 23:55:25+00:00,Nothing about Russell Westbrook game changed. He has been playing this for years. Bandwagon'rs!!!
prince_nueve, , ,False,2016-10-31 23:53:09+00:00,Russell Westbrook and Damian Lillard are ballers
MontezzAllen313, ,Chicago,False,2016-10-31 23:43:38+00:00,Will Russell Westbrook win MVP this season?
tjvrd13, , ,False,2016-10-31 23:36:48+00:00,"Russell Westbrook for MVP, homecoming king, president, and whatever else"
AddamFrancisco, , ,False,2016-10-31 23:31:42+00:00,"After a historic start of the season for Russell Westbrook, was Kevin Durant the one holding him back this whole time?"
OfficialJ_Lee,EmileFresne, ,False,2016-10-31 23:30:00+00:00,@EmileFresne Yes cause Calling Russell Westbrook ass is something Emile would say 😂
MikeeAstro, , ,False,2016-10-31 23:25:06+00:00,Russell Westbrook = MVP ???
blackgoldk1ng, , ,False,2016-10-31 23:24:13+00:00,"RIP to the Warriors, they ain't dead Russell Westbrook just finna destroy them on Thursday"
barklycooltimes, , ,False,2016-10-31 23:24:02+00:00,I need to design a Russell Westbrook Revenge Tour t shirt
Pk_Gyamfi,jeffreyasante_, ,False,2016-10-31 23:14:28+00:00,"@jeffreyasante_ we will continue this argument when Russell Westbrook gets a ""Ring"""
samgregtom, , ,False,2016-10-31 23:14:22+00:00,Russell Westbrook has to be everyone's favorite player at this point.
itsDwayneB, , ,False,2016-10-31 23:12:09+00:00,The way Russell Westbrook been playing this season has been scary. I can't wait for OKC vs GSW.
Mike_DaCosta20, , ,False,2016-10-31 23:10:58+00:00,Is Russell Westbrook a million dollars on FanDuel yet?
NBAthisWeek1, , ,False,2016-10-31 23:06:52+00:00,"#RussellWestbrook LeBron James, Russell Westbrook named NBA Players of the Week"
KillRunyon, , ,False,2016-10-31 23:06:15+00:00,Russell Westbrook is my spirit animal
SmooveDeeeezy, ,Moreno Valley,False,2016-10-31 22:57:52+00:00,This nigga Russell Westbrook really be putting up MyPlayer numbers.
insee_j, , ,False,2016-10-31 22:55:34+00:00,Russell Westbrook for MVP ?
MusabOnTheReal, , ,False,2016-10-31 22:54:51+00:00,Russell Westbrook is gonna average a triple double this season.
MattEvansCU, , ,False,2016-10-31 22:53:20+00:00,Russell Westbrook is gonna go in hard against the Warriors on Thursday. Can't wait!
LeekHndrxx, , ,False,2016-10-31 22:52:45+00:00,"I can't wait to see Thunder vs Warriors
Russell Westbrook putting up a quadruple double"
BrianBrinkleyOK,kfor, ,True,2016-10-31 22:45:03+00:00,"Coming up at 6 on @kfor, #Thunder's Russell Westbrook on Steven Adams, contract ext. in line for 3 OKC players, and #Sooners and #OKState FB"
MichxelScxrn, , ,False,2016-10-31 22:40:13+00:00,I honestly believe that Russell Westbrook will go down as the greatest point guard that has and will ever live.
2KNATION21, , ,False,2016-10-31 22:39:04+00:00,I hope Russell Westbrook shits all over the Warriors
Kennile_T, , ,False,2016-10-31 22:29:54+00:00,Russell Westbrook is gonna be that Kobe when shaq left the team (Kevin Durant)
AdamZagoria, ,Manhattan,True,2016-10-31 22:29:50+00:00,Russell Westbrook is the first player to record two triple-doubles in the first  three games of the season since Magic Johnson in 1982-83.
NorthlandTim, , ,False,2016-10-31 22:26:44+00:00,Russell Westbrook averaging 39/12/12 through 3 games. That any good?
Its_Meshach, , ,True,2016-10-31 22:25:58+00:00,LeBron James and Russell Westbrook were named NBA Players of the Week.
NguyenKevin4,lexbre143, ,False,2016-10-31 22:24:13+00:00,@lexbre143 Russell Westbrook getting the MVP this year
etibolla, , ,False,2016-10-31 22:21:26+00:00,"Mon deck semaine 2 : B. Griffin, S. Curry, R. Westbrook, I. Thomas, B. Bogdanovic, K. Love, D. Russell #TTFL"
38DDLuvr,MollyQerim, ,False,2016-10-31 22:19:10+00:00,@MollyQerim ROFL...outrageously weird outfit...was that his Halloween costume bought @ The Russell Westbrook House of Style? LOL
DomingueBBSE, , ,False,2016-10-31 22:15:56+00:00,Russell Westbrook and Anthony Davis are starting off the season OTHER WORLDLY. If OKC makes the playoffs Westbrook has GOT to win MVP
12ozFlares, , ,False,2016-10-31 22:10:41+00:00,Russell Westbrook is my spirit animal
yiganorvanbash, , ,False,2016-10-31 22:08:44+00:00,Russell Westbrook named Western Conference Player of the Week
thatguyshakurb, , ,False,2016-10-31 22:06:05+00:00,Russell Westbrook is like playing NBA Live '06 with a 99 rated Kobe Bryant on rookie with all the game sliders up.
chief_kinggg,RickyWinn35, ,False,2016-10-31 22:03:26+00:00,@RickyWinn35 Exactly it's gone be Russell Westbrook vs the Los Angeles Clippers and we gone fuck him up😂
glorianamm, , ,False,2016-10-31 21:55:47+00:00,Russell Westbrook or Russell Bestbrook?
CLum_TGOD,lildickytweets, ,False,2016-10-31 21:55:17+00:00,@lildickytweets Russell Westbrook on a Farm is genius. I jus had to let u know
Dooglasso, , ,False,2016-10-31 21:53:29+00:00,ESPN is out here talking about if Russell Westbrook is going to average a Triple/Dub this season after 3 fucking games.
jacob35rogers, , ,False,2016-10-31 21:52:43+00:00,Russell Westbrook wins mvp this year. heard it here first
theotherTAC, , ,False,2016-10-31 21:52:14+00:00,Russell Westbrook is like that guy that walks round wit the drum guitar harmonica piano etc all on him. #1manband
KwikWarren, , ,False,2016-10-31 21:52:14+00:00,"Kornheiser: ""Russell Westbrook is fueled by the hatred of a thousand suns at Kevin Durant."" For sure. LOL. #PTI"
Ste723Alex,Ste723Alex, ,False,2016-10-31 21:51:19+00:00,@Ste723Alex Russell Westbrook*
LondonConsulta, , ,False,2016-10-31 21:50:41+00:00,Russell Westbrook
