username,replied_to_username,location,verified,created_at,text
DfsPgafan, , ,False,2018-01-07 23:52:52+00:00,"Damian Lillard 
Russell Westbrook 
SG 
Kent Bazemore 
Devin Booker 
SF 
Brandon Ingram 
Taurean Prince 
PF 
Al-Farouq Aminu 
Maxi Kleber 
C 
Alex Len 

#NBA for me today"
lvnkysmoov, , ,False,2018-01-07 23:41:46+00:00,Russell Westbrook #NBAVote
itsmeranger1,okcthunder, ,False,2018-01-07 23:40:44+00:00,@okcthunder #NBAVOTE Russell Westbrook
charlsekeith, , ,False,2018-01-07 23:40:23+00:00,Russell Westbrook #NBAVOTE
zhangrubin, , ,False,2018-01-07 23:39:08+00:00,Russell   Westbrook   #NBAVOTE
MuziKalLadi3, , ,False,2018-01-07 23:38:41+00:00,#NBAVote Russell Westbrook
mamatheeka, , ,False,2018-01-07 23:38:27+00:00,Why does Russell Westbrook look like a ninja turtle???
QueenRuHa, , ,False,2018-01-07 23:38:21+00:00,Russell Westbrook #NBAVOTE
rrando14, , ,False,2018-01-07 23:36:47+00:00,Russell Westbrook #NBAVOTE
pietrus21, , ,False,2018-01-07 23:34:41+00:00,#NBAVOTE Russell westbrook 🔥
d6d6e6424a9b41a, , ,False,2018-01-07 23:33:28+00:00,#NBAVote Russell Westbrook #WhyNot
JensenThaWriter, , ,False,2018-01-07 23:33:26+00:00,Russell Westbrook #NBAVOTE
uche_kd,Desh_woes, ,False,2018-01-07 23:31:03+00:00,@Desh_woes @Rawest_Zulu @Tigerrrrrr_ @BleacherReport Oh shut up your mouth. Wilt chamberlain. 100 points. Russell Westbrook most. Triple doubles in a season
emilywatts13, ,Bethany,False,2018-01-07 23:24:28+00:00,Russell Westbrook #NBAVote
TheWestbrookEra, , ,False,2018-01-07 23:16:43+00:00,"RT if this is the Best PG In The League.

Russell Westbrook #NBAVote"
izzyherboo, , ,False,2018-01-07 23:12:42+00:00,Russell Westbrook #NBAVote
nat_dutton35,DwyaneWade, ,False,2018-01-07 23:12:24+00:00,@DwyaneWade @hunterginn Russell Westbrook #nbavote
Natesomeness, , ,False,2018-01-07 23:10:22+00:00,Russell Westbrook #NBAVote
BigDink_DLA, ,Detroit,False,2018-01-07 23:08:19+00:00,#NBAVOTE Russell Westbrook
Jhickness9,IzzOKait, ,False,2018-01-07 23:03:49+00:00,@IzzOKait @Preston_Capers It’s a no from me Russell Westbrook buzzer beater remix better
goddesswcurves, , ,False,2018-01-07 23:02:34+00:00,#NBAVote 🏀 Russell Westbrook 🏀
Diego_Galaviz_, , ,False,2018-01-07 23:02:20+00:00,Russell Westbrook #NBAVote #ThunderUp
NnamdiJuugo, , ,False,2018-01-07 23:01:44+00:00,I #NBAVote Russell Westbrook.
NnamdiJuugo, , ,False,2018-01-07 23:01:13+00:00,I #NBAVote Russell Westbrook
NnamdiJuugo, , ,False,2018-01-07 23:00:47+00:00,#NBAVote Russell Westbrook
seanbrumb, , ,False,2018-01-07 23:00:43+00:00,wish me luck I’m gonna try to meet Russell Westbrook
TheCurryVault,NYFried516, ,False,2018-01-07 23:00:13+00:00,"@NYFried516 Just a few autos that are on this canvas. Stephen Curry, Klay, Kevin Durant, Draymond green, James harden, Giannis, Anthony Davis, John wall, Russell Westbrook, Kylie Irving, Carmelo Anthony, Isaiah Thomas, Paul George. Etc etc etc 😍"
2Armando10, , ,False,2018-01-07 23:00:01+00:00,Russell Westbrook #NBAVote
Jhickness9,IzzOKait, ,False,2018-01-07 22:59:09+00:00,@IzzOKait @Preston_Capers Russell Westbrook better tbh check him out
MiguelObeso_24, , ,False,2018-01-07 22:56:29+00:00,Russell Westbrook #NBAVote
madisonsmother1, , ,False,2018-01-07 22:54:55+00:00,Russell Westbrook #NBAVote
cyberJoshh, , ,False,2018-01-07 22:52:20+00:00,#NBAVOTE Russell Westbrook
RobeMacias, , ,False,2018-01-07 22:51:47+00:00,#NBAVOTE Russell Westbrook
LoweJayshawn, , ,False,2018-01-07 22:49:51+00:00,Lol why do everybody always say i look like Russell Westbrook when i don’t
kjnbareports,okcthunder, ,False,2018-01-07 22:47:32+00:00,"@okcthunder Russell Westbrook @russwest44 looking for his 7th All-Star Game appearance. He is a 2-time All-Star MVP (2015, 2016). In NOLA '17, Russ scored 41 points (7-13 from downtown). #NBA #thunderup #kjreports"
JasonFoussier, , ,False,2018-01-07 22:43:23+00:00,"Damian Lillard #NBAVote 
Demar Derozan #NBAVote 
Russell Westbrook #NBAVote 
Paul George #NBAVote 
DeMarcus Cousins #NBAVote 
Kristaps Porzingis #NBAVote 
Giannis Antetokounmpo #NBAVote"
omerjamil13, , ,False,2018-01-07 22:42:54+00:00,Russell westbrook #nbavote
RadBradEvans, , ,False,2018-01-07 22:42:15+00:00,Russell Westbrook #NBAVote
ConnorLearnNBA, ,Wisconsin,False,2018-01-07 22:39:28+00:00,"#Suns Injury Alert 🚨
-Isaiah Canaan ruled out today
-Tyler Ulis only healthy point guard on roster, should get plenty of time. Solid value.
-Russell Westbrook with Ulis on him for 30+ minutes is very appealing
-Danuel House, Troy Daniels more PT
-Booker more playmaking opps"
AundraeForbes, , ,False,2018-01-07 22:37:32+00:00,Russell Westbrook #NBAVote
CumminsCollin4, , ,False,2018-01-07 22:37:30+00:00,Russell Westbrook #nbavote
ellevita1904, , ,False,2018-01-07 22:35:37+00:00,"#NBAVote 

Al Horford
Karl Towns
Lebron James
James Harden
Russell Westbrook
Antoni Davis
Kevin Love
Isaias Tomas
Antetokumpo
Kevin Durant"
Dam_JustFine, , ,False,2018-01-07 22:32:50+00:00,Russell Westbrook #NBAVote
Mac23Melvin, , ,False,2018-01-07 22:32:43+00:00,Russell Westbrook #NBAVote
johnValle_C, ,Cabo Caribe,False,2018-01-07 22:29:02+00:00,Russell Westbrook #NBAVOTE
isaac1087, , ,False,2018-01-07 22:26:42+00:00,Russell westbrook #NBAVote
ustinregovic, , ,False,2018-01-07 22:26:31+00:00,Russell Westbrook #NBAVote
JFerCam_2, , ,False,2018-01-07 22:26:16+00:00,"#NBAVote Russell Westbrook 
#NBAVote Paul George 
#NBAVote Carmelo Anthony 

#ThunderUp"
BoattoMatteo, , ,False,2018-01-07 22:25:59+00:00,Russell westbrook #NBAVOTE
gkncmlc, , ,False,2018-01-07 22:25:53+00:00,Russell Westbrook  #NBAVote
gkncmlc, , ,False,2018-01-07 22:25:32+00:00,Russell Westbrook  #NBAVote
gkncmlc, , ,False,2018-01-07 22:25:23+00:00,Russell Westbrook  #NBAVote
KurrySauce94, , ,False,2018-01-07 22:25:03+00:00,Russell Westbrook #NBAVote
Keivonte_, ,Camden,False,2018-01-07 22:22:39+00:00,#NBAVOTE Russell Westbrook
SKenwisher, , ,False,2018-01-07 22:20:58+00:00,Russell Westbrook #NBAVote
_ariiebabyy,russwest44,Brooklyn,False,2018-01-07 22:20:38+00:00,Russell Westbrook @russwest44 #NBAVote
_nivektv, , ,False,2018-01-07 22:17:38+00:00,Russell Westbrook #NBAVote
MeauxButtuh, , ,False,2018-01-07 22:16:59+00:00,Russell Westbrook #NBAvote
Tony3di, ,Washington,False,2018-01-07 22:15:40+00:00,"Who would have predicted Donovan Mitchell’s performance so far? I watched him at Louisville and had no idea dude had this much game. Very Russell Westbrook like performances  in college. Killer workouts, and rise in the draft board."
EricR73179, , ,False,2018-01-07 22:14:08+00:00,Russell Westbrook #NBAVOTE
patientXwolf, , ,False,2018-01-07 22:10:29+00:00,Donavon Mitchell is controlled version of  Russell Westbrook with a jump shot.
SKIPTWEETBOT, , ,False,2018-01-07 22:06:26+00:00,"Russell Westbrook got too many ways. So Spurs: Kawhi, 2-time defensive"
okgal888, ,Oklahoma City,False,2018-01-07 22:00:36+00:00,#NBAVote Russell Westbrook
Melanie4816, , ,False,2018-01-07 21:52:38+00:00,Russell Westbrook #NBAVote #ThunderUp     #StackTheDeck #VoteBlue #WhyNot
koolcatsqueen, ,Del City,False,2018-01-07 21:52:20+00:00,Russell Westbrook.  #NBAVOTE.     Steven Adams.    #NBAVOTE.      Paul George.  #NBAVOTE.   Carmelo Anthony.  #NBAVOTE
whalefluke18, , ,False,2018-01-07 21:46:12+00:00,#NBAVOTE Russell Westbrook
