username,replied_to_username,location,verified,created_at,text
chris155223, , ,False,2021-10-25 23:59:43+00:00,Beal playing like Westbrick right now I’m sick🤮🤮🤮🤮
benjamin_idumu,Trevor_Lane, ,False,2021-10-25 23:52:11+00:00,@Trevor_Lane @LakersNation Tears who picked westbrick
mattyice2ish, , ,False,2021-10-25 23:48:54+00:00,Justin Robinson &gt; Russell Westbrook
MikeRob95601665,RTNBA, ,False,2021-10-25 23:47:42+00:00,"@RTNBA Favorite player: Westbrook 
Player I dislike: Harden
Player who grew on me: Steph curry
Most overrated: bill Russell 
Most underrated: Tmac
GOAT: Mj"
iluvjaybandjayt, , ,False,2021-10-25 23:46:09+00:00,i’ve seen wayyy too many russell westbrook commercials
fantasybballbot, , ,False,2021-10-25 23:40:42+00:00,"team with Caleb Barnes, Paul george, Bill russell, stephen curry, and Russell westbrook"
RoyceONealeFan0,getnickwright,Manhattan,False,2021-10-25 23:39:47+00:00,@getnickwright Nick your taking more Ls than Russell Westbrook has in the past 3 weeks
Book1tt,sunsplzwin, ,False,2021-10-25 23:35:32+00:00,@sunsplzwin Russell Westbrook
StephStevenso12,DonZionda, ,False,2021-10-25 23:35:02+00:00,"@DonZionda @Aristires03 @Ballislife 128 str8 gms of making a 3? I'm 100% sure that's sum'n that ""Westbrick"" will never do."
sunsplzwin, , ,False,2021-10-25 23:34:33+00:00,"Last digit of your like has to hit a 3 to save your life

1. Klay Thompson
2. Dwight Howard
3. Russell Westbrook
4. Devin Booker
5. Stephen Curry
6. LeBron James
7. Damian Lillard
8. Joe Harris
9. Giannis 
0. Javale McGee"
fantasybballbot, , ,False,2021-10-25 23:21:42+00:00,"team with Russell westbrook, chris paul, kyrie irving, batman, and blake griffin"
brentgrahamsbg7,RTNBA, ,False,2021-10-25 23:21:20+00:00,"@RTNBA Favorite player of all time: Larry Bird

Player I just like: Patrick Beverley

Player that grew on me: Trae Young

Most overrated player: Russell Westbrook

Most underrated player: Grant Hill

The GOAT: MJ"
abadmichaelb,TheHoopCentral, ,False,2021-10-25 23:16:32+00:00,@TheHoopCentral Russel Westbrick.
GawdVilla, , ,False,2021-10-25 23:14:45+00:00,"Favorite player of all time: Carmelo

Player I dislike: Westbrick

Player that grew on me: Julius Randle

Most overrated player: Ben Simmons 

Most underrated player: Cam Reddish

The G.O.A.T. BRON"
mayo_jf,PabloGRadio, ,False,2021-10-25 23:08:44+00:00,"@PabloGRadio Idiots! With Herro, you go for Russell Westbrook!!"
RyanAndrewWaug1, , ,False,2021-10-25 23:04:51+00:00,Never respect ''''Mister 'Levi Litster'''''!! Never respect ''''Mister 'Chädäm Day Mihlberger'''''! Never respect ''''Mister 'Russell Westbrook'''''! Never respect ''''Mister 'David Wilson'''''! Never respect ''''Mister 'Dave Wilson'''''! Never respect ''''Mister 'Guðni'''''!🇺🇲🇫🇮
nbanerd5,notorioustei, ,False,2021-10-25 22:57:03+00:00,@notorioustei 3 guys from the Kentucky basketball tree and Russell Westbrook?
jackphillips417,RTNBA, ,False,2021-10-25 22:56:31+00:00,"@RTNBA Kobe Bryant/Luka Doncic 
Lebron James
Jimmy Butler 
Russell Westbrook 
Dearron Fox 
Michael Jordan"
IshAP29, , ,False,2021-10-25 22:50:35+00:00,"New mythical fighter:
Short-roll Russell Westbrook"
